"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DATA_METEO_Static_1{16}";"04/06/2024 19:33:13";259;1;45447814738,7384
"variables supervision_IRRADIATION";"04/06/2024 19:34:13";0;1;45447815432,7662
"DATA LOGGER_VALUE{0}";"04/06/2024 19:34:13";246;1;45447815432,7662
"DATA LOGGER_VALUE{1}";"04/06/2024 19:34:13";292;1;45447815432,7662
"DATA LOGGER_VALUE{5}";"04/06/2024 19:34:13";560;1;45447815432,7662
"variables supervision_ANGLE VENT";"04/06/2024 19:34:13";220;1;45447815432,7662
"variables supervision_VITESSE VENT";"04/06/2024 19:34:13";9;1;45447815432,7662
"DATA_METEO_Static_1{16}";"04/06/2024 19:34:13";259;1;45447815432,7662
"variables supervision_IRRADIATION";"04/06/2024 19:35:13";0;1;45447816127,9051
"DATA LOGGER_VALUE{0}";"04/06/2024 19:35:13";242;1;45447816127,9051
"DATA LOGGER_VALUE{1}";"04/06/2024 19:35:13";291;1;45447816127,9051
"DATA LOGGER_VALUE{5}";"04/06/2024 19:35:13";571;1;45447816127,9051
"variables supervision_ANGLE VENT";"04/06/2024 19:35:13";233;1;45447816127,9051
"variables supervision_VITESSE VENT";"04/06/2024 19:35:13";57;1;45447816127,9051
"DATA_METEO_Static_1{16}";"04/06/2024 19:35:13";253;1;45447816127,9051
"variables supervision_IRRADIATION";"04/06/2024 19:36:13";0;1;45447816821,9676
"DATA LOGGER_VALUE{0}";"04/06/2024 19:36:13";242;1;45447816821,9676
"DATA LOGGER_VALUE{1}";"04/06/2024 19:36:13";291;1;45447816821,9676
"DATA LOGGER_VALUE{5}";"04/06/2024 19:36:13";571;1;45447816821,9676
"variables supervision_ANGLE VENT";"04/06/2024 19:36:13";233;1;45447816821,9676
"variables supervision_VITESSE VENT";"04/06/2024 19:36:13";57;1;45447816821,9676
"DATA_METEO_Static_1{16}";"04/06/2024 19:36:13";253;1;45447816821,9676
"variables supervision_IRRADIATION";"04/06/2024 19:37:13";0;1;45447817517,037
"DATA LOGGER_VALUE{0}";"04/06/2024 19:37:13";242;1;45447817517,037
